fecha,equipo_local,equipo_visitante,goles_local,goles_visitante
2024-01-14,Real Madrid,Sevilla,3,1
2024-01-21,Barcelona,Valencia,2,0
2024-01-28,Sevilla,Barcelona,1,1
2024-02-04,Real Madrid,Valencia,4,0
2024-02-11,Valencia,Sevilla,2,2
2024-02-18,Barcelona,Real Madrid,1,2
2024-02-25,Sevilla,Real Madrid,0,3
2024-03-03,Valencia,Barcelona,0,3
2024-03-10,Real Madrid,Barcelona,2,1
2024-03-17,Barcelona,Sevilla,3,0
2024-03-24,Sevilla,Valencia,1,0
2024-03-31,Valencia,Real Madrid,0,2
2024-04-07,Real Madrid,Sevilla,2,0
2024-04-14,Barcelona,Valencia,4,1
2024-04-21,Sevilla,Barcelona,0,2
2024-04-28,Valencia,Sevilla,1,1
2024-05-05,Real Madrid,Valencia,3,0
2024-05-12,Barcelona,Real Madrid,0,0
